Area_Code,Country_Key,Metadata,Code_Type,Region
"ABW",1,"","Country","Latin America and the Caribbean"
"AFG",3,"","Country","Southern Asia"
"AFW",4,"","Country",""
"AGO",5,"","Country","Sub-Saharan Africa"
"ALB",6,"","Country","Southern Europe"
"AND",7,"","Country","Southern Europe"
"ARE",9,"","Country","Western Asia"
"ARG",10,"","Country","Latin America and the Caribbean"
"ARM",11,"","Country","Western Asia"
"ASM",12,"","Country","Polynesia"
"ATG",13,"","Country","Latin America and the Caribbean"
"AUS",14,"","Country","Australia and New Zealand"
"AUT",15,"","Country","Western Europe"
"AZE",16,"","Country","Western Asia"
"BDI",17,"","Country","Sub-Saharan Africa"
"BEL",18,"","Country","Western Europe"
"BEN",19,"","Country","Sub-Saharan Africa"
"BFA",20,"","Country","Sub-Saharan Africa"
"BGD",21,"","Country","Southern Asia"
"BGR",22,"","Country","Eastern Europe"
"BHR",23,"","Country","Western Asia"
"BHS",24,"","Country","Latin America and the Caribbean"
"BIH",25,"","Country","Southern Europe"
"BLR",26,"","Country","Eastern Europe"
"BLZ",27,"","Country","Latin America and the Caribbean"
"BMU",28,"","Country","Northern America"
"BOL",29,"","Country","Latin America and the Caribbean"
"BRA",30,"","Country","Latin America and the Caribbean"
"BRB",31,"","Country","Latin America and the Caribbean"
"BRN",32,"","Country","South-eastern Asia"
"BTN",33,"","Country","Southern Asia"
"BWA",34,"","Country","Sub-Saharan Africa"
"CAF",35,"","Country","Sub-Saharan Africa"
"CAN",36,"","Country","Northern America"
"CHE",38,"","Country","Western Europe"
"CHI",39,"","Country",""
"CHL",40,"","Country","Latin America and the Caribbean"
"CHN",41,"","Country","Eastern Asia"
"CIV",42,"","Country","Sub-Saharan Africa"
"CMR",43,"","Country","Sub-Saharan Africa"
"COD",44,"","Country","Sub-Saharan Africa"
"COG",45,"","Country","Sub-Saharan Africa"
"COL",46,"","Country","Latin America and the Caribbean"
"COM",47,"","Country","Sub-Saharan Africa"
"CPV",48,"","Country","Sub-Saharan Africa"
"CRI",49,"","Country","Latin America and the Caribbean"
"CUB",51,"","Country","Latin America and the Caribbean"
"CUW",52,"","Country","Latin America and the Caribbean"
"CYM",53,"","Country","Latin America and the Caribbean"
"CYP",54,"","Country","Western Asia"
"CZE",55,"","Country","Eastern Europe"
"DEU",56,"","Country","Western Europe"
"DJI",57,"","Country","Sub-Saharan Africa"
"DMA",58,"","Country","Latin America and the Caribbean"
"DNK",59,"","Country","Northern Europe"
"DOM",60,"","Country","Latin America and the Caribbean"
"DZA",61,"","Country","Northern Africa"
"EAP",62,"","Country",""
"EAS",64,"","Country",""
"ECA",65,"","Country",""
"ECS",66,"","Country",""
"ECU",67,"","Country","Latin America and the Caribbean"
"EGY",68,"","Country","Northern Africa"
"ERI",70,"","Country","Sub-Saharan Africa"
"ESP",71,"","Country","Southern Europe"
"EST",72,"","Country","Northern Europe"
"ETH",73,"","Country","Sub-Saharan Africa"
"FIN",76,"","Country","Northern Europe"
"FJI",77,"","Country","Melanesia"
"FRA",78,"","Country","Western Europe"
"FRO",79,"","Country","Northern Europe"
"FSM",80,"","Country","Micronesia"
"GAB",81,"","Country","Sub-Saharan Africa"
